code,nom,nom_patient,departement,echantillon,tube,couleur_tube,volume,jeune,conditions,conservation,delai,methode,valeurs_ref,interet,remarques,photo
CP II,C-propeptide du Procollagène de Type II,C-propeptide du Procollagène de Type II,Chimie,Sang > Sérum,,,,Non,,,,"Procollagen II C-Propeptide ELISA de IBEX Pharmaceuticals, Montréal, Canada",,,source_url: https://www.chu.ulg.ac.be/jcms/c_709388/c-propeptide-du-procollagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
S-C2C,C-terminal neoepitope du Collagène de Type II,C-terminal neoepitope du Collagène de Type II,Chimie,Sang,,,,Non,,,,Collagen Type II Cleavage ELISA de IBEX (compétition),,,source_url: https://www.chu.ulg.ac.be/jcms/c_709393/c-terminal-neoepitope-du-collagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CICP,C-terminal propeptide de collagène de type I,C-terminal propeptide de collagène de type I,Chimie,Sang,,,,Non,,,,Dosage ELISA de type sandwich de chez Quidel Microvue,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24844477/c-terminal-propeptide-de-collagene-de-type-i | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
U-CTX II,C-terminal telopeptides du Collagène de Type-II contenant l’épitope EKGPDP,C-terminal telopeptides du Collagène de Type-II contenant l’épitope EKGPDP,Chimie,Urines,,,,Non,,,,u-CartiLaps® ELISA De IDS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709399/c-terminal-telopeptides-du-collagene-de-type-ii-contenant-l-epitope-ekgpdp | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
"C1,2C","C1,2C (Clivage de type I et II du collagène)","C1,2C (Clivage de type I et II du collagène)",Chimie,Sang,,,,Non,,,,Dosage ELISA de type compétition de chez Ibex,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24717150/c1-2c-clivage-de-type-i-et-ii-du-collagene | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CTXS_E_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Chimie,Sang,,,,Non,,,,Dosage immunologique de type sandwich et est basé sur une technique de chimiluminescence (CLIA) sur Isys,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23529301/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CTXS_R,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) Roche- Cobas e402 (Pure),CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) Roche- Cobas e402 (Pure),Chimie,Sang,,,,Non,,,,Dosage immunologique de type sandwich et est basé sur une technique de chimiluminescence (CLIA) sur Cobas e402,,,source_url: https://www.chu.ulg.ac.be/jcms/c_16040648/ctxs-c-telopeptides-collagene-type-i-roche-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
S-CTX I,CTXS : C-terminal telopeptides du Collagène de Type-I IDS-ELISA,CTXS : C-terminal telopeptides du Collagène de Type-I IDS-ELISA,Chimie,Sang > Sérum,,,,Non,,,,Serum CrossLaps™ ELISA de IDS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709219/ctxs-c-terminal-telopeptides-du-collagene-de-type-i-ids-elisa | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
h-COMP,Cartilage Oligomeric Matrix Protein,Cartilage Oligomeric Matrix Protein,Chimie,Sang > Sérum,,,,Non,,,,"Wielisa®-kit hCOMP de Wieslab, Lund, Suède",,,source_url: https://www.chu.ulg.ac.be/jcms/c_709378/cartilage-oligomeric-matrix-protein | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY),
CPTTFQ,Calprotectine Fécale Quantitative,Calprotectine Fécale Quantitative,Chimie,Selles,,,,Non,,,,Dosage immunologique direct de type sandwich et basé sur une technique de chimiluminescence (CLIA) sur Liaison XL,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351995/calprotectine-fecale-quantitative | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CER,Ceruloplasmine,Ceruloplasmine,Chimie,Sang,,,,Non,,,,Immunonéphélométrie avec antisérum Siemens sur Néphélomètre : ATELLICA NEPH 630 Siemens,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351987/ceruloplasmine | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHK,Chaînes Légères Kappa Totales,Chaînes Légères Kappa Totales,Chimie,Sang,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351988/chaines-legeres-kappa-totales | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHKU,Chaînes Légères Kappa Totales Urinaires,Chaînes Légères Kappa Totales Urinaires,Chimie,Urines > 24H / Urines,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351989/chaines-legeres-kappa-totales-urinaires | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHL,Chaînes Légères Lambda Totales,Chaînes Légères Lambda Totales,Chimie,Sang,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351990/chaines-legeres-lambda-totales | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CHLU,Chaînes Légères Lambda Totales urinaires,Chaînes Légères Lambda Totales urinaires,Chimie,Urines > 24H / Urines,,,,Non,,,,Immunonéphélométrie avec anti-sérum Siemens sur Néphélomètre : ATTELICA NEPH 630 Siemens.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351991/chaines-legeres-lambda-totales-urinaires | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
LF,Chaînes Légères Libres Lambda,Chaînes Légères Libres Lambda,Chimie,Sang,,,,Non,,,,Méthode turbidimétrique réalisé sur OPTILITE (The Binding Site),,,source_url: https://www.chu.ulg.ac.be/jcms/c_352024/chaines-legeres-libres-lambda | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
KFL,Chaînes légères libres Kappa dans le LCR,Chaînes légères libres Kappa dans le LCR,Chimie,Liquides biologiques > LCR,,,,Non,,,,Méthode turbidimétrique réalisé sur OPTILITE (The Binding Site),,,source_url: https://www.chu.ulg.ac.be/jcms/c_15815456/chaines-legeres-libres-kappa-dans-le-lcr | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
KF,Chaïnes Légères Libres Kappa,Chaïnes Légères Libres Kappa,Chimie,Sang,,,,Non,,,,Méthode turbidimétrique réalisé sur OPTILITE (The Binding Site),,,source_url: https://www.chu.ulg.ac.be/jcms/c_352023/chaines-legeres-libres-kappa | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CI_U,Citrate,Citrate,Chimie,Urines > 24H / Urines,,,,Non,,,,Méthode enzymatique (Réactifs Instruchemie) sur Cobas Pure C303,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351992/citrate | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse,
CPT,C-Peptide,C-Peptide,Hormonologie,Sang,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351697/c-peptide | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C15X,CA 15-3 (Liquides de ponction),CA 15-3 (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21823991/ca-15-3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C15,CA 15.3,CA 15.3,Hormonologie,Sang > Sérum,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351708/ca-15-3 | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
