code,nom,nom_patient,departement,echantillon,tube,couleur_tube,volume,jeune,conditions,conservation,delai,methode,valeurs_ref,interet,remarques,photo
GLU,Glucose (Glycémie),Analyse du sucre dans le sang,Chimie,Sang veineux,Fluorure (gris),gris,3 mL,Oui (8-12h),À jeun (8-12h recommandé),T° ambiante max 2h. Centrifuger rapidement.,1h (urgent) / 4h (routine),Hexokinase / Enzymatique,0.70 – 1.10 g/L (à jeun),Diagnostic et suivi du diabète. Hypoglycémie. Bilan métabolique de base.,Le tube fluorure inhibe la glycolyse. En cas d'HGPO : prélèvements à T0 T60 T120 min.,tube-gris.jpg
CREA,Créatinine,Analyse des reins,Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,1h (urgent) / 4h (routine),Jaffé / Enzymatique,H: 7-13 mg/L · F: 5-11 mg/L,Évaluation de la fonction rénale. Calcul du DFG (CKD-EPI).,Un repas riche en viande peut augmenter transitoirement la créatinine.,tube-rouge.jpg
UREE,Urée,Analyse des reins (urée),Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,4h,Uréase / UV cinétique,0.15 – 0.45 g/L,Évaluation fonction rénale. État d'hydratation. Catabolisme protéique.,Augmente avec un régime hyperprotéiné / déshydratation / hémorragies digestives.,tube-rouge.jpg
ALAT,ALAT (TGP) — Transaminases,Analyse du foie (TGP),Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,4h,IFCC / UV cinétique,H: < 45 U/L · F: < 34 U/L,Marqueur de cytolyse hépatique. Bilan hépatique / hépatites / stéatose.,Plus spécifique du foie que l'ASAT. Peut être élevée par certains médicaments.,tube-rouge.jpg
ASAT,ASAT (TGO) — Transaminases,Analyse du foie (TGO),Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,4h,IFCC / UV cinétique,H: < 35 U/L · F: < 31 U/L,Cytolyse hépatique et musculaire. Infarctus du myocarde / hépatites.,Moins spécifique du foie que l'ALAT. Rapport ASAT/ALAT utile (alcool / Wilson).,tube-rouge.jpg
GGT,Gamma GT (γ-GT),Analyse du foie (Gamma GT),Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Oui (préférable),À jeun de préférence,T° ambiante 24h / réfrigéré 7 jours,4h,Enzymatique cinétique,H: < 55 U/L · F: < 38 U/L,Cholestase / alcoolisme / induction enzymatique médicamenteuse.,Marqueur sensible mais peu spécifique.,tube-rouge.jpg
CHOL,Cholestérol total,Analyse du cholestérol,Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Oui (12h),À jeun 12h,T° ambiante 24h / réfrigéré 7 jours,4h,Enzymatique / Colorimétrique,< 2.00 g/L (souhaitable),Bilan lipidique / risque cardiovasculaire.,Interpréter avec HDL / LDL et triglycérides.,tube-rouge.jpg
TG,Triglycérides,Analyse des graisses dans le sang,Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Oui strict (12h),À jeun strict 12h,T° ambiante 24h / réfrigéré 7 jours,4h,Enzymatique / Colorimétrique,< 1.50 g/L,Bilan lipidique. Risque de pancréatite si > 10 g/L.,Très sensibles à l'alimentation récente et à l'alcool.,tube-rouge.jpg
HDL,Cholestérol HDL,Bon cholestérol,Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Oui (12h),À jeun 12h,T° ambiante 24h / réfrigéré 7 jours,4h,Direct / Enzymatique,H: > 0.40 g/L · F: > 0.50 g/L,Facteur protecteur cardiovasculaire. Calcul du LDL.,HDL bas = facteur de risque CV indépendant.,tube-rouge.jpg
CRP,Protéine C-réactive (CRP),Analyse de l'inflammation (CRP),Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,1h (urgent) / 4h (routine),Immunoturbidimétrie,< 5 mg/L,Marqueur d'inflammation aiguë. Infections / maladies inflammatoires.,Augmente dès 6h après le stimulus inflammatoire. Plus rapide que la VS.,tube-rouge.jpg
FER,Fer sérique,Analyse du fer dans le sang,Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Oui (matin),À jeun. Prélèvement le matin (variation circadienne).,T° ambiante 24h / réfrigéré 7 jours,4h,Colorimétrique (Ferrozine),H: 0.65-1.75 mg/L · F: 0.50-1.70 mg/L,Bilan martial / anémie ferriprive / surcharge en fer.,Toujours interpréter avec ferritine et transferrine.,tube-rouge.jpg
FERR,Ferritine,Réserves de fer,Chimie,Sang veineux,Sec (rouge),rouge,5 mL,Non,Pas de conditions particulières,T° ambiante 24h / réfrigéré 7 jours,4h,Immunoturbidimétrie,H: 30-300 µg/L · F: 15-150 µg/L,Meilleur marqueur des réserves en fer. Anémie / hémochromatose.,Peut être faussement élevée en cas d'inflammation.,tube-rouge.jpg
