code,nom,departement,tube,couleur_tube,delai,jeune,remarques
CP II,C-propeptide du Procollagène de Type II,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709388/c-propeptide-du-procollagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
S-C2C,C-terminal neoepitope du Collagène de Type II,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709393/c-terminal-neoepitope-du-collagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CICP,C-terminal propeptide de collagène de type I,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24844477/c-terminal-propeptide-de-collagene-de-type-i | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
U-CTX II,C-terminal telopeptides du Collagène de Type-II contenant l’épitope EKGPDP,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709399/c-terminal-telopeptides-du-collagene-de-type-ii-contenant-l-epitope-ekgpdp | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
"C1,2C","C1,2C (Clivage de type I et II du collagène)",Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24717150/c1-2c-clivage-de-type-i-et-ii-du-collagene | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CTXS_E_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23529301/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CTXS_R,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) Roche- Cobas e402 (Pure),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_16040648/ctxs-c-telopeptides-collagene-type-i-roche-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
S-CTX I,CTXS : C-terminal telopeptides du Collagène de Type-I IDS-ELISA,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709219/ctxs-c-terminal-telopeptides-du-collagene-de-type-i-ids-elisa | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
h-COMP,Cartilage Oligomeric Matrix Protein,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709378/cartilage-oligomeric-matrix-protein | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CPTTFQ,Calprotectine Fécale Quantitative,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351995/calprotectine-fecale-quantitative | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CER,Ceruloplasmine,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351987/ceruloplasmine | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
